,amount,name,notes,recipe,units
10,['3'],peanut oil,or ghee,sabudana khichdi ,tablespoon
11,,rock salt,(sendha namak) as required,sabudana khichdi ,
0,['5 to 6'],"idlis,",crumbled,idli upma ,
1,['1'],oil,,idli upma ,tablespoon
2,['½'],mustard seeds,(rai),idli upma ,teaspoon
3,['½'],cumin seeds,(jeera),idli upma ,teaspoon
4,['½'],split husked bengal gram,(urad dal),idli upma ,teaspoon
5,['5 to 6'],"curry leaves,",chopped or kept whole (kadi patta),idli upma ,
6,['½'],"ginger,",finely chopped (adrak),idli upma ,teaspoon
7,['1'],"green chili,",chopped (hari mirch),idli upma ,
8,['1'],"dry red chili,",use red chilies which are not hot (sookhi lal mirch),idli upma ,
9,['1'],"asafoetida,",optional (hing),idli upma ,pinch
10,['¼'],chopped onion,or 1 small onion chopped,idli upma ,cup
11,,salt as required,,idli upma ,
12,['1 to 2'],"coriander leaves,",chopped (dhania patta),idli upma ,tablespoons
0,['10 to 12'],baby potatoes,,punjabi dum aloo ,
1,['1'],large onion,,punjabi dum aloo ,
2,['1'],large tomato,,punjabi dum aloo ,
3,['½'],ginger,(adrak),punjabi dum aloo ,inch
4,['2 to 3'],garlic,(lahsun),punjabi dum aloo ,
5,['2'],broken cashews,OR 10 to 12 king sized cashews soaked in water for 30 minutes,punjabi dum aloo ,tablespoon
6,['1'],black cardamom,(badi elaichi),punjabi dum aloo ,
7,['1'],cinnamon stick,(dalchini),punjabi dum aloo ,inch
8,['½'],turmeric powder,(haldi),punjabi dum aloo ,teaspoon
9,['½'],red chilli powder,(lal mirch powder),punjabi dum aloo ,teaspoon
10,['1'],coriander powder,(dhania powder),punjabi dum aloo ,teaspoon
11,['1'],fennel powder,(saunf),punjabi dum aloo ,teaspoon
12,['½'],garam masala powder,,punjabi dum aloo ,teaspoon
13,['½'],lemon juice,OR 1 tablespoon curd (dahi or yogurt),punjabi dum aloo ,tablespoon
14,['1 to 1.5'],water,,punjabi dum aloo ,cups
15,['1 or 2'],coriander leaves for garnishing,(dhania patta),punjabi dum aloo ,tablespoon
0,['1'],"onion, chopped,",75 grams or ½ cup chopped onions,matar ka nimona ,medium
1,['½'],"chopped ginger,","OR ½ inch ginger, chopped",matar ka nimona ,teaspoon
2,['1'],chopped garlic,(lahsun),matar ka nimona ,teaspoon
3,['2'],"green chilies,",chopped,matar ka nimona ,
4,['1'],"fresh green peas,",150 grams,matar ka nimona ,cup
5,['2'],mustard oil,,matar ka nimona ,tablespoons
6,['1'],"medium potato,",OR 100 grams OR ¾ cup chopped potato cubes,matar ka nimona ,
7,['1'],tej patta,(indian bay leaf),matar ka nimona ,
8,['3'],cloves,(lavang),matar ka nimona ,
9,['½'],cumin seeds,(jeera),matar ka nimona ,teaspoon
10,['1'],"medium tomato,",finely chopped OR 5 grams OR ⅓ cup finely chopped tomatoes,matar ka nimona ,
11,['1'],pinch asafoetida,(hing),matar ka nimona ,
12,['¼'],turmeric powder,(haldi),matar ka nimona ,teaspoon
13,['½'],kashmiri red chili powder,,matar ka nimona ,teaspoon
14,['½'],coriander powder,,matar ka nimona ,teaspoon
15,['3'],chopped coriander leaves,,matar ka nimona ,tablespoons
16,['1.5 to 2'],water,OR add as required,matar ka nimona ,cups
17,['¼ to ½'],garam masala powder,,matar ka nimona ,teaspoon
18,['2'],chopped coriander leaves,,matar ka nimona ,tablespoons
0,['15 to 18'],medium to large palak leaves,(spinach) - yields approx ½ or ¾ cup spinach puree,aloo palak paratha ,
1,['2'],medium aloo,"(potatoes) - peeled, boiled and mashed, approx 1 cup mashed potatoes",aloo palak paratha ,
2,['2 to 3'],garlic,(lahsun) - crushed or made into a paste in a mortar-pestle,aloo palak paratha ,
3,['½'],cumin powder,(jeera powder),aloo palak paratha ,teaspoon
4,['½'],coriander powder,(dhania powder),aloo palak paratha ,teaspoon
5,['½'],red chili powder,(lal mirch powder),aloo palak paratha ,teaspoon
6,['¼'],turmeric powder,(haldi),aloo palak paratha ,teaspoon
7,['2'],whole wheat flour,(atta),aloo palak paratha ,cups
8,['1'],yogurt,(dahi or curd) - optional,aloo palak paratha ,tablespoon
9,['1'],oil,,aloo palak paratha ,teaspoon
10,,salt as required,,aloo palak paratha ,
11,,oil,or ghee as required for frying the parathas,aloo palak paratha ,
0,['250'],radish pods,(moongre),aloo moongre ki sabzi ,grams
1,['1'],large potato,"or 2 medium size potatoes, diced",aloo moongre ki sabzi ,
2,['1'],turmeric powder,(haldi),aloo moongre ki sabzi ,teaspoon
3,['½'],red chili powder,(lal mirch powder),aloo moongre ki sabzi ,teaspoon
4,['¼'],garam masala powder,,aloo moongre ki sabzi ,teaspoon
5,['1'],dry mango powder,(amchur powder),aloo moongre ki sabzi ,teaspoon
6,['2 to 3'],mustard oil,or sunflower oil,aloo moongre ki sabzi ,tablespoon
7,,salt,as required,aloo moongre ki sabzi ,
0,['2'],grated or chopped mawa,"(khoya or evaporated milk solids) or 250 grams khoya or mawa, grated or chopped",kaju barfi ,cups
1,['1'],cashews,(kaju),kaju barfi ,cup
2,['½'],sugar,or add as required,kaju barfi ,cup
3,['1'],ghee,(clarified butter),kaju barfi ,tablespoon
4,['¼'],cardamom powder,(choti elaichi powder),kaju barfi ,teaspoon
5,['15'],cashews,for garnish (optional),kaju barfi ,
6,,a few saffron strands,(kesar) - for garnish (optional),kaju barfi ,
0,['1'],medium to large sized alphonso mangoes,OR ¾ cup chopped mangoes,mango kesari ,
1,['⅓'],"sugar,",OR add as required,mango kesari ,cup
2,['1'],saffron,,mango kesari ,pinch
3,,seeds from 3 green cardamoms,,mango kesari ,
4,['3'],ghee,or any neutral flavored oil,mango kesari ,tablespoons
5,['½'],rava or sooji,(cream of wheat),mango kesari ,cup
6,['12 to 14'],cashews,,mango kesari ,
7,['½'],raisins,,mango kesari ,tablespoon
8,['1.5'],water,,mango kesari ,cups
0,['1.25'],chana dal,or bengal gram,dal pakwan ,cup
1,['2 to 2.5'],water,,dal pakwan ,cups
2,['2'],"green chilies,",slit (hari mirch),dal pakwan ,
3,['8 to 10'],curry leaves,(kadi patta) - optional,dal pakwan ,
4,['1'],cumin,(jeera),dal pakwan ,teaspoon
5,['1'],asafoetida,(hing),dal pakwan ,pinch
6,['½'],turmeric powder,(haldi),dal pakwan ,teaspoon
7,['½'],red chili powder,(lal mirch powder),dal pakwan ,teaspoon
8,['1'],dry mango powder,(amchur powder),dal pakwan ,teaspoon
9,['¼'],garam masala powder,,dal pakwan ,teaspoon
10,['½ to 1'],sugar or as required,(optional),dal pakwan ,teaspoon
11,,salt as required,,dal pakwan ,
12,['1 to 1.5'],oil or ghee,,dal pakwan ,tablespoon
0,['350'],cabbage,or 4 cups tightly packed chopped or shredded cabbage,cabbage poriyal ,grams
1,['2'],sesame oil,(til ka tel),cabbage poriyal ,tablespoon
2,['6 to 7'],pearl onions,or shallots or ¼ cup sliced pearl onions or shallots or onions,cabbage poriyal ,
3,['1 to 2'],"green chilies,","chopped or 1 to 2 dry red chilies, deseeded and broken",cabbage poriyal ,
4,['10 to 12'],curry leaves,(kadi patta),cabbage poriyal ,
5,['½'],mustard seeds,(rai),cabbage poriyal ,teaspoon
6,['1'],husked split black gram,(urad dal),cabbage poriyal ,teaspoon
7,['¼'],turmeric powder,(haldi),cabbage poriyal ,teaspoon
8,['1'],asafoetida,(hing),cabbage poriyal ,pinch
9,['¼'],water or add as required,,cabbage poriyal ,cup
10,['3 to 4'],grated fresh coconut,,cabbage poriyal ,tablespoon
11,['2'],"coriander leaves,",chopped (dhania patta),cabbage poriyal ,tablespoon
12,,salt as required,,cabbage poriyal ,
0,['¼'],tuvar dal,(pigeon pea lentils),palak dal ,cup
1,['¼'],masoor dal,(pink lentils),palak dal ,cup
2,['2'],chopped spinach,(palak),palak dal ,cups
3,['1 or 2'],green chilies,"(hari mirch), chopped",palak dal ,
4,['1'],ginger,"(adrak), chopped",palak dal ,inch
5,['1'],cumin seeds,(sabut jeera),palak dal ,teaspoon
6,['¼'],asafoetida,(hing),palak dal ,teaspoon
7,['½'],turmeric powder,(haldi),palak dal ,teaspoon
8,['½'],red chili powder,(lal mirch powder),palak dal ,teaspoon
9,['2 to 2.5'],"water,",for pressure cooking the dals,palak dal ,cups
10,['½ to 1'],"water,",to be added to the dal in the last step,palak dal ,cup
11,['2 to 3'],ghee or oil,,palak dal ,tablespoons
12,,salt,as required,palak dal ,
0,['2 '],olive oil ,(you can use butter or sunflower oil instead of olive oil),one pot pasta ,tablespoons
1,['3 to 4 '],"small to medium garlic cloves, finely chopped",or 1 teaspoon finely chopped garlic,one pot pasta ,
2,['60 '],"onion, finely chopped","or ⅓ cup chopped onions or 1 medium onion, chopped",one pot pasta ,grams 
3,['275 '],"tomato, finely chopped",or 3 medium to large tomatoes,one pot pasta ,grams
4,['¼'],"black pepper,",crushed or ½ to ⅔ teaspoon crushed black pepper,one pot pasta ,teaspoon 
5,['85 '],"capsicum,",chopped or 1 medium to large capsicum or ½ cup capsicum,one pot pasta ,gram 
6,['50 '],"french beans,",chopped or or 10 to 12 french beans or ⅓ cup french beans,one pot pasta ,grams 
7,['90 '],"carrot, ",chopped or 1 medium carrot or ½ cup chopped carrots,one pot pasta ,grams 
8,['60'],"potato,",chopped or 1 small to medium potato or cup chopped potaotes,one pot pasta ,gram 
9,['¼ to ⅓\t '],frozen green peas,(matar),one pot pasta ,cup 
10,['100 to 105 '],macaroni pasta ,or 1 cup pasta,one pot pasta ,grams 
11,['2.5 '],water,- for more sauce you can add 3 cups water,one pot pasta ,cups 
12,,"salt,",as required,one pot pasta ,
13,['½ '],oregano ,or add as required,one pot pasta ,teaspoon 
14,['2 to 3 '],"basil leaves,",chopped or 1 to 2 teaspoons chopped basil leaves,one pot pasta ,
15,['15 to 20 '],cashews,- powdered,one pot pasta ,
0,['5'],of bread,- whole wheat or multigrain or brown or white bread,bread vada ,slices
1,['⅓'],chopped onions,,bread vada ,cup
2,['1'],ginger,- finely chopped OR 1 teaspoon finely chopped ginger,bread vada ,inch
3,['1 to 2'],green chilies,- chopped,bread vada ,
4,['¼'],chopped coriander leaves,,bread vada ,cup
5,['8 to 10'],curry leaves,(kadi patta) - chopped,bread vada ,
6,['⅛'],black pepper,- crushed,bread vada ,teaspoon
7,['¼'],cumin seeds,(jeera),bread vada ,teaspoon
8,['1'],asaofetida,(hing),bread vada ,pinch
9,['1'],turmeric powder,(haldi),bread vada ,pinch
10,['¼'],fresh curd,(dahi or yogurt),bread vada ,cup
11,['3'],rice flour,,bread vada ,tablespoons
12,['2'],fine sooji,(rava or cream of wheat),bread vada ,tablespoons
13,,salt as required,- do keep a check as bread already has salt in it,bread vada ,
14,,oil for deep frying,,bread vada ,
0,['12 to 15'],medium to large fresh spinach leaves,(palak ke patte),spinach fritters ,
1,,oil for frying the fritters,,spinach fritters ,
2,['1.5'],besan,(gram flour),spinach fritters ,cups
3,['½'],red chili powder,(lal mirch powder),spinach fritters ,teaspoon
4,['¾'],ajwain,(carom seeds),spinach fritters ,teaspoon
5,['2'],white sesame seeds,(safed til),spinach fritters ,teaspoon
6,['¼'],turmeric powder,(haldi powder),spinach fritters ,teaspoon
7,['½'],garam masala powder,,spinach fritters ,teaspoon
8,,a generous pinch of asafoetida powder,(hing),spinach fritters ,
9,['2'],of baking soda,,spinach fritters ,pinches
10,['¾ to 1'],water or add as required,,spinach fritters ,cup
11,,salt as required,,spinach fritters ,
0,['3'],sooji,(rava or semolina),sooji kheer ,tablespoon
1,['3'],milk,or 750 ml milk,sooji kheer ,cups
2,['4'],green cardamoms,"(choti elachi) - crushed to a powder in a mortar-pestle or small grinder, Or ¼ teaspoon cardamom powder",sooji kheer ,
3,['2'],cashews,(kaju),sooji kheer ,tablespoon
4,['1'],raisins,(kishmish),sooji kheer ,tablespoon
5,['1'],chironji,(charoli) - optional,sooji kheer ,tablespoon
6,['4 to 4.5'],sugar,or add as required,sooji kheer ,tablespoon
7,['1'],edible camphor,(optional),sooji kheer ,pinch
8,['1'],cow's ghee,- reduce the amount of ghee to ½ or ¼ tablespoon if you prefer,sooji kheer ,tablespoon
0,['300'],unripe banana,sliced OR 4 small to medium sized raw unripe plaintains,raw banana fry ,grams
1,['2'],oil,,raw banana fry ,tablespoon
2,['¼'],mustard seeds,(rai),raw banana fry ,teaspoon
3,['6 to 7'],curry leaves,(kadi patta),raw banana fry ,
4,['1'],asafoetida,(hing),raw banana fry ,pinch
5,['½'],red chili powder,(lal mirch powder),raw banana fry ,teaspoon
6,['½'],coriander powder,(dhania powder),raw banana fry ,teaspoon
7,['¼'],turmeric powder,(haldi),raw banana fry ,teaspoon
8,,salt as required,,raw banana fry ,
9,['1'],chopped coriander leaves,(dhania patta),raw banana fry ,tablespoon
0,['2.5'],oil,,cabbage bhaji ,tablespoons
1,['½'],cumin seeds,(jeera),cabbage bhaji ,teaspoon
2,['12 to 15'],curry leaves,(kadi patta),cabbage bhaji ,
3,['1'],"green chili,",chopped (hari mirch),cabbage bhaji ,
4,['1'],asafoetida,(hing),cabbage bhaji ,pinch
5,['4'],chopped cabbage,(patta gobi) or 300 grams cabbage - shredded or chopped,cabbage bhaji ,cups
6,,salt as required,,cabbage bhaji ,
7,['¼'],tightly packed grated coconut,or desiccated coconut powder,cabbage bhaji ,cup
8,['2'],chopped coriander leaves,(dhania patta),cabbage bhaji ,tablespoons
0,['2'],"medium size mangoes,",chopped,mango mousse ,
1,['½'],25% to 35% low fat cream,or whipping cream,mango mousse ,cup
2,,a few chopped dry fruits,for garnishing or any fruit preserve or grated chocolate (optional),mango mousse ,
0,['2'],whole wheat flour,(atta) OR 240 grams whole wheat flour,cheese garlic naan ,cups
1,['1'],all purpose flour,(maida) OR 125 grams all purpose flour,cheese garlic naan ,cup
2,['1.5'],baking powder,,cheese garlic naan ,teaspoon
3,['¼'],baking soda,,cheese garlic naan ,teaspoon
4,['2'],sugar,,cheese garlic naan ,teaspoons
5,['1'],salt,,cheese garlic naan ,teaspoon
6,['3'],buttermilk,OR curd (yogurt or dahi),cheese garlic naan ,tablespoons
7,['3'],oil,OR butter,cheese garlic naan ,tablespoons
8,['⅔ to ¾'],water,OR add as required,cheese garlic naan ,cup
9,['10 to 12'],large garlic cloves,OR 2 tablespoons garlic paste or minced garlic,cheese garlic naan ,
10,['100'],cheese,OR 1 cup grated cheese,cheese garlic naan ,grams
11,,white sesame seeds ,as required,cheese garlic naan ,
0,['2'],whole wheat flour,(atta) or 240 grams atta,eggless butter cookies ,cups
1,['4 to 5'],green cardamoms,(choti elaichi) - seeds kept and husks removed,eggless butter cookies ,
2,['100'],chilled cold unsalted butter,- about 7 to 8 tablespoon butter,eggless butter cookies ,grams
3,['½'],baking powder,or ½ teaspoon baking soda,eggless butter cookies ,teaspoon
4,['¼'],nutmeg powder,(jaiphal powder),eggless butter cookies ,teaspoon
5,['2 to 3'],milk,- add more milk if required,eggless butter cookies ,tablespoon
6,['3'],curd,(dahi or yogurt),eggless butter cookies ,tablespoon
7,['½'],organic unrefined cane sugar,Or regular sugar Or ¾ cup powdered sugar Or 125 grams of powdered sugar,eggless butter cookies ,cup
0,['1'],"sesame oil,",can also use sunflower oil,paneer schezwan ,tablespoon
1,['1'],finely chopped garlic,(lahsun),paneer schezwan ,teaspoon
2,['½'],finely chopped ginger,(adrak),paneer schezwan ,teaspoon
3,['¼'],chopped spring onions,,paneer schezwan ,cup
4,['⅓'],sliced capsicum,(bell pepper or shimla mirch),paneer schezwan ,cup
5,['2 to 3'],green chillies,- sliced or slit,paneer schezwan ,
6,['2'],schezwan sauce,,paneer schezwan ,tablespoons
7,['½'],soy sauce,,paneer schezwan ,teaspoon
8,['½'],black pepper powder,(kali mirch powder) or add as required,paneer schezwan ,teaspoon
9,['¼ to ½'],sugar,or add as required,paneer schezwan ,teaspoon
10,['1'],water,,paneer schezwan ,cup
11,,salt as required,,paneer schezwan ,
12,['3'],corn flour,- dissolved in 3 teaspoons water,paneer schezwan ,teaspoons
13,['250'],paneer,- chopped in cubes (cottage cheese),paneer schezwan ,grams
14,['1 to 2'],chopped spring onion greens,,paneer schezwan ,tablespoons
15,['½ to 1'],sweet rice wine,(OPTIONAL),paneer schezwan ,teaspoon
16,,some spring onion greens for garnish,,paneer schezwan ,
0,['3 to 4'],oil for sauteing aubergines,,dum ke baingan ,tablespoons
1,['400'],aubergines,(baingan),dum ke baingan ,grams
2,['½'],turmeric powder,(haldi),dum ke baingan ,teaspoon
3,,salt,as required,dum ke baingan ,
4,['1 to 1.25'],water,,dum ke baingan ,cups
5,['1'],"oil,",for sautéing masala,dum ke baingan ,tablespoon
6,['7 to 8'],dry red kashmiri chilies,,dum ke baingan ,
7,['1'],cumin seeds,(jeera),dum ke baingan ,teaspoon
8,['1'],whole black pepper,,dum ke baingan ,teaspoon
9,['3'],green cardamoms,(hari elaichi),dum ke baingan ,
10,['1'],cinnamon stick,(dalchini),dum ke baingan ,inch
11,['4'],cloves,(laung),dum ke baingan ,
12,['1'],tej patta,,dum ke baingan ,
13,['2'],malt vinegar or apple cider or regular vinegar,(sirka),dum ke baingan ,tablespoons
14,['1'],"large onion,","or 2 medium onions, about three fourth cup to 1 cup roughly chopped onion",dum ke baingan ,
15,['1.5'],ginger,"(adrak), chopped",dum ke baingan ,inch
16,['5 to 6'],"small to medium garlic cloves,",(lahsun) chopped,dum ke baingan ,
17,['¼'],chopped coriander leaves,(dhania patta),dum ke baingan ,cup
0,['1'],heaped basmati rice,,potato pulao ,cup
1,['1.5'],water for soaking rice,,potato pulao ,cups
2,['2'],medium to large potatoes,or 200 to 215 grams potatoes,potato pulao ,
3,['2'],oil,,potato pulao ,tablespoon
4,['1'],tej patta,(indian bay leaf),potato pulao ,
5,['2'],green cardamoms,(chotti elaichi),potato pulao ,
6,['3'],cloves,(lavang),potato pulao ,
7,['½'],cinnamon,(dalchini),potato pulao ,inch
8,['¼'],mustard seeds,(rai),potato pulao ,teaspoon
9,['1'],medium onion,or 50 grams onions or ⅓ cup thinly sliced onions,potato pulao ,
10,['1'],sprig curry leaves,(kadi patta) or 8 to 10 curry leaves,potato pulao ,
11,['¼'],turmeric powder,(haldi),potato pulao ,teaspoon
12,['1.5 to 1.75'],water,for pressure cooking,potato pulao ,cups
13,,salt as required,,potato pulao ,
14,['1 to 2'],chopped coriander,or mint leaves for garnish,potato pulao ,tablespoon
15,['1'],medium tomato,or 60 grams tomatoes or ⅓ cup chopped tomatoes,potato pulao ,
16,['3 to 4'],garlic cloves,(lahsun) - chopped,potato pulao ,
17,['½'],ginger,(adrak) - chopped,potato pulao ,inch
18,['1 to 2'],green chilies,(hari mirch) - chopped,potato pulao ,
19,['¼'],chopped coriander leaves,or ¼ cup half-half of mint + coriander leaves,potato pulao ,cup
20,['¼'],fennel seeds,(saunf),potato pulao ,teaspoon
21,['¼'],cumin seeds,(jeera),potato pulao ,teaspoon
0,['1'],dried white chickpeas,(chole or kabuli chana or safed chana),peshawari chole masala ,cup
1,['2.5'],water,for pressure cooking,peshawari chole masala ,cups
2,['2'],black cardamoms,(badi elaichi),peshawari chole masala ,
3,['1'],cinnamon,(dalchini),peshawari chole masala ,inch
